TradeID,OrderID,Trader,Account,Branch,route,bkrsym,rrno,B/S,SHORT,Market,symb,qty,price,time
TRD00019,ORD00008,TRADER1,ACC123456,MAIN,SMART,AAPL,RR001,S,N,LIMIT,AAPL,251,239.26,2023-04-02 06:02:56
TRD00020,ORD00009,TRADER1,ACC123456,MAIN,NSDQ,AMD,RR001,B,N,LIMIT,AMD,238,196.02,2023-05-18 11:35:33
TRD00021,ORD00009,TRADER1,ACC123456,MAIN,NSDQ,AMD,RR001,B,N,LIMIT,AMD,238,195.89,2023-05-18 11:36:38
TRD00022,ORD00010,TRADER1,ACC123456,MAIN,ARCA,AAPL,RR001,S,N,LIMIT,AAPL,286,185.71,2023-09-23 04:05:18
TRD00023,ORD00010,TRADER1,ACC123456,MAIN,ARCA,AAPL,RR001,S,N,LIMIT,AAPL,287,186.25,2023-09-23 04:06:43
TRD00024,ORD00011,TRADER1,ACC123456,MAIN,ARCA,NFLX,RR001,S,N,LIMIT,NFLX,198,196.53,2023-12-09 10:44:00
TRD00025,ORD00011,TRADER1,ACC123456,MAIN,ARCA,NFLX,RR001,S,N,LIMIT,NFLX,199,197.84,2023-12-09 10:45:03
TRD00026,ORD00012,TRADER1,ACC123456,MAIN,BATS,NFLX,RR001,S,N,LIMIT,NFLX,312,249.34,2023-03-21 05:37:31
TRD00027,ORD00012,TRADER1,ACC123456,MAIN,BATS,NFLX,RR001,S,N,LIMIT,NFLX,313,248.56,2023-03-21 05:38:46
TRD00028,ORD00013,TRADER1,ACC123456,MAIN,ARCA,NVDA,RR001,B,N,LIMIT,NVDA,124,145.98,2023-04-19 16:28:49
TRD00029,ORD00013,TRADER1,ACC123456,MAIN,ARCA,NVDA,RR001,B,N,LIMIT,NVDA,125,146.35,2023-04-19 16:30:01
TRD00030,ORD00013,TRADER1,ACC123456,MAIN,ARCA,NVDA,RR001,B,N,LIMIT,NVDA,125,146.21,2023-04-19 16:31:17
TRD00031,ORD00014,TRADER1,ACC123456,MAIN,NYSE,NVDA,RR001,B,N,LIMIT,NVDA,361,76.08,2023-11-09 21:14:31
TRD00032,ORD00014,TRADER1,ACC123456,MAIN,NYSE,NVDA,RR001,B,N,LIMIT,NVDA,362,76.16,2023-11-09 21:15:42
TRD00033,ORD00015,TRADER1,ACC123456,MAIN,NSDQ,TSLA,RR001,S,N,LIMIT,TSLA,213,62.42,2023-05-31 21:50:59
TRD00034,ORD00015,TRADER1,ACC123456,MAIN,NSDQ,TSLA,RR001,S,N,LIMIT,TSLA,213,62.34,2023-05-31 21:51:59
TRD00035,ORD00015,TRADER1,ACC123456,MAIN,NSDQ,TSLA,RR001,S,N,LIMIT,TSLA,213,62.37,2023-05-31 21:53:03
TRD00036,ORD00016,TRADER1,ACC123456,MAIN,NSDQ,META,RR001,B,N,LIMIT,META,318,117.47,2023-04-03 16:37:59
TRD00037,ORD00016,TRADER1,ACC123456,MAIN,NSDQ,META,RR001,B,N,LIMIT,META,318,117.64,2023-04-03 16:39:14
TRD00038,ORD00016,TRADER1,ACC123456,MAIN,NSDQ,META,RR001,B,N,LIMIT,META,318,117.92,2023-04-03 16:40:32
TRD00039,ORD00017,TRADER1,ACC123456,MAIN,BATS,NVDA,RR001,B,N,LIMIT,NVDA,418,234.76,2023-07-12 08:29:32
TRD00040,ORD00017,TRADER1,ACC123456,MAIN,BATS,NVDA,RR001,B,N,LIMIT,NVDA,418,234.12,2023-07-12 08:30:47
TRD00041,ORD00018,TRADER1,ACC123456,MAIN,NYSE,MSFT,RR001,S,N,LIMIT,MSFT,172,82.67,2023-07-30 17:34:54
TRD00042,ORD00018,TRADER1,ACC123456,MAIN,NYSE,MSFT,RR001,S,N,LIMIT,MSFT,172,82.51,2023-07-30 17:36:12
TRD00043,ORD00018,TRADER1,ACC123456,MAIN,NYSE,MSFT,RR001,S,N,LIMIT,MSFT,172,82.15,2023-07-30 17:37:28
TRD00044,ORD00019,TRADER1,ACC123456,MAIN,BATS,GOOGL,RR001,S,N,LIMIT,GOOGL,240,192.28,2023-11-19 15:37:51
TRD00045,ORD00019,TRADER1,ACC123456,MAIN,BATS,GOOGL,RR001,S,N,LIMIT,GOOGL,241,191.74,2023-11-19 15:39:04
TRD00046,ORD00020,TRADER1,ACC123456,MAIN,NYSE,MSFT,RR001,S,N,LIMIT,MSFT,182,152.08,2023-05-08 11:38:05
TRD00047,ORD00020,TRADER1,ACC123456,MAIN,NYSE,MSFT,RR001,S,N,LIMIT,MSFT,182,151.65,2023-05-08 11:39:23
TRD00048,ORD00020,TRADER1,ACC123456,MAIN,NYSE,MSFT,RR001,S,N,LIMIT,MSFT,183,151.94,2023-05-08 11:40:42
TRD00049,ORD00021,TRADER1,ACC123456,MAIN,SMART,META,RR001,B,N,LIMIT,META,276,157.18,2023-06-09 00:18:10
TRD00050,ORD00021,TRADER1,ACC123456,MAIN,SMART,META,RR001,B,N,LIMIT,META,277,156.85,2023-06-09 00:19:43
TRD00051,ORD00022,TRADER1,ACC123456,MAIN,ARCA,META,RR001,S,N,LIMIT,META,391,90.23,2023-07-19 03:50:37
TRD00052,ORD00022,TRADER1,ACC123456,MAIN,ARCA,META,RR001,S,N,LIMIT,META,391,90.52,2023-07-19 03:51:48
TRD00053,ORD00023,TRADER1,ACC123456,MAIN,NYSE,PYPL,RR001,S,N,LIMIT,PYPL,319,243.78,2023-08-05 09:18:27
TRD00054,ORD00023,TRADER1,ACC123456,MAIN,NYSE,PYPL,RR001,S,N,LIMIT,PYPL,319,244.44,2023-08-05 09:19:58
TRD00055,ORD00023,TRADER1,ACC123456,MAIN,NYSE,PYPL,RR001,S,N,LIMIT,PYPL,320,243.95,2023-08-05 09:21:16
TRD00056,ORD00024,TRADER1,ACC123456,MAIN,SMART,MSFT,RR001,S,N,LIMIT,MSFT,313,234.97,2023-10-05 05:54:35
TRD00057,ORD00024,TRADER1,ACC123456,MAIN,SMART,MSFT,RR001,S,N,LIMIT,MSFT,313,235.82,2023-10-05 05:55:47
TRD00058,ORD00025,TRADER1,ACC123456,MAIN,BATS,PYPL,RR001,B,N,LIMIT,PYPL,338,151.86,2023-12-07 17:26:11
TRD00059,ORD00025,TRADER1,ACC123456,MAIN,BATS,PYPL,RR001,B,N,LIMIT,PYPL,339,152.67,2023-12-07 17:27:35
TRD00060,ORD00026,TRADER1,ACC123456,MAIN,ARCA,AMD,RR001,S,N,LIMIT,AMD,309,68.25,2023-02-13 16:37:27
TRD00061,ORD00026,TRADER1,ACC123456,MAIN,ARCA,AMD,RR001,S,N,LIMIT,AMD,309,68.12,2023-02-13 16:38:54
TRD00062,ORD00027,TRADER1,ACC123456,MAIN,NSDQ,NVDA,RR001,B,N,LIMIT,NVDA,129,89.34,2023-05-07 14:09:46
TRD00063,ORD00027,TRADER1,ACC123456,MAIN,NSDQ,NVDA,RR001,B,N,LIMIT,NVDA,129,89.68,2023-05-07 14:11:03
TRD00064,ORD00027,TRADER1,ACC123456,MAIN,NSDQ,NVDA,RR001,B,N,LIMIT,NVDA,129,89.51,2023-05-07 14:12:28
TRD00065,ORD00028,TRADER1,ACC123456,MAIN,SMART,NFLX,RR001,B,N,LIMIT,NFLX,282,161.58,2023-11-09 08:32:41
TRD00066,ORD00028,TRADER1,ACC123456,MAIN,SMART,NFLX,RR001,B,N,LIMIT,NFLX,283,162.09,2023-11-09 08:33:48
TRD00067,ORD00028,TRADER1,ACC123456,MAIN,SMART,NFLX,RR001,B,N,LIMIT,NFLX,283,161.77,2023-11-09 08:35:10
TRD00068,ORD00029,TRADER1,ACC123456,MAIN,SMART,AMZN,RR001,S,N,LIMIT,AMZN,291,247.82,2023-03-19 20:04:08
TRD00069,ORD00029,TRADER1,ACC123456,MAIN,SMART,AMZN,RR001,S,N,LIMIT,AMZN,291,246.98,2023-03-19 20:05:26
TRD00070,ORD00029,TRADER1,ACC123456,MAIN,SMART,AMZN,RR001,S,N,LIMIT,AMZN,292,247.12,2023-03-19 20:06:53
TRD00071,ORD00030,TRADER1,ACC123456,MAIN,NSDQ,AMD,RR001,S,N,LIMIT,AMD,198,199.62,2023-05-25 19:15:37
TRD00072,ORD00030,TRADER1,ACC123456,MAIN,NSDQ,AMD,RR001,S,N,LIMIT,AMD,199,198.89,2023-05-25 19:16:54
TRD00073,ORD00031,TRADER1,ACC123456,MAIN,ARCA,PYPL,RR001,B,N,LIMIT,PYPL,211,172.38,2023-07-09 08:33:03
TRD00074,ORD00031,TRADER1,ACC123456,MAIN,ARCA,PYPL,RR001,B,N,LIMIT,PYPL,211,171.96,2023-07-09 08:34:49
TRD00075,ORD00031,TRADER1,ACC123456,MAIN,ARCA,PYPL,RR001,B,N,LIMIT,PYPL,211,172.25,2023-07-09 08:36:12
TRD00076,ORD00032,TRADER1,ACC123456,MAIN,SMART,PYPL,RR001,S,N,LIMIT,PYPL,287,215.02,2023-04-28 01:24:50
TRD00077,ORD00032,TRADER1,ACC123456,MAIN,SMART,PYPL,RR001,S,N,LIMIT,PYPL,287,215.76,2023-04-28 01:26:15
TRD00078,ORD00033,TRADER1,ACC123456,MAIN,BATS,NVDA,RR001,S,N,LIMIT,NVDA,191,277.92,2023-12-19 18:12:10
TRD00079,ORD00033,TRADER1,ACC123456,MAIN,BATS,NVDA,RR001,S,N,LIMIT,NVDA,191,278.42,2023-12-19 18:13:46
TRD00080,ORD00033,TRADER1,ACC123456,MAIN,BATS,NVDA,RR001,S,N,LIMIT,NVDA,192,278.65,2023-12-19 18:15:12
